cardNumber,cardHolderId,policyOwner,expirationDate
0000000001,c-0000001,Bank of America,2025-12-31
0000000002,c-0000002,Wells Fargo,2025-08-15
0000000003,c-0000004,Chase,2026-11-20
0000000004,c-0000007,Citibank,2026-05-07
0000000005,c-0000008,HSBC,2027-03-14
0000000006,c-0000010,Barclays,2027-07-22
0000000007,c-0000014,Santander,2024-09-09
0000000008,c-0000016,PNC Bank,2024-12-12
0000000009,c-0000017,Royal Bank of Canada,2028-01-01
0000000010,c-0000018,Deutsche Bank,2028-03-23
0000000011,c-0000020,BNP Paribas,2028-06-17
0000000012,c-0000021,Standard Chartered,2026-10-10
0000000013,c-0000025,Scotiabank,2024-12-25
0000000014,c-0000028,UBS,2023-07-19
0000000015,c-0000003,Morgan Stanley,2023-05-22
0000000016,c-0000009,Goldman Sachs,2027-11-11
0000000017,c-0000011,Credit Suisse,2028-08-15
0000000018,c-0000012,Bank of China,2025-09-17
0000000019,c-0000013,JP Morgan Chase,2026-07-20
0000000020,c-0000015,Lloyds Bank,2025-10-05
0000000021,c-0000022,Toronto-Dominion Bank,2027-09-25
0000000022,c-0000023,ING,2024-12-20
0000000023,c-0000026,UniCredit,2025-11-11
0000000024,c-0000027,Westpac,2026-03-30
0000000025,c-0000006,ANZ,2024-06-19
